"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Jude Belling𝑯𝑰𝑴 ⌚️😤

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxbMTSzvtEx/","393","We Iranians will never forgive this disrespect of FIFA","69274","2023-09-20T19:14:46.000Z",
"Name a player who keeps exceeding expectations. 🔥","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxc1UREMAII/","169","The real captain tsubasa","47679","2023-09-21T10:28:29.000Z",
"🥇💋

Petit put the icing on the cake for @equipedefrance! 🍰

#FIFAWorldCup | #HBD","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxffa2aKYKZ/","101","Would’ve been a better game France vs Holland.","33899","2023-09-22T11:14:47.000Z",
"At their best! ✨ 

#TheBest","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxY2bJ9vcdf/","194","JULIÁN 🕷 💙","167435","2023-09-19T21:21:07.000Z",
"Not the first time these two have taken on the best in the business... 🇪🇸🌟

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxbEvmzv0ik/","110","","144038","2023-09-20T18:04:44.000Z",
"@angeldimariajm = Crossing with style 👀🤯

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxaw4szLjOn/","465","PSG should've kept him on the RW and place messi at CAM, that may have solved alot of issues chemistry wise for the team. With such deadly finishers like Mbappe and Messi both attacking the flank we could've at least passed the round of 16. Not to mention two skillful and accurate wingers like Àngel and Neymar. PSG WOULD BE FLAMES","218643","2023-09-20T15:12:23.000Z",
"A @SvenskFotboll legend. 🇸🇪

#HBD #FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxaQCy8NY2K/","116","Jogava muito 👏🏼👏🏼👏🏼👏🏼","47060","2023-09-20T10:24:14.000Z",
"⛔️ @Ederson93 ⛔️

#TheBest #FIFAWorldCup #Brazil","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxYVlcxRtY9/","125","👏👏","51847","2023-09-19T17:04:41.000Z",
"🎶🗣️ “Glorious, Glorious!”

@ktrippier2 made sure this one was unsavable! 🎯 

#FIFAWorldCup #HBD #Trippier #England","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxXv4-PNczj/","229","What a bejtifal goal","88876","2023-09-19T11:10:57.000Z",
"Just getting started. ✨🇧🇷

@CBF_Futebol #FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxTV-1ENybv/","104","हम पूरा भारत मे अपने व्यवसाय के लिए महत्वाकांक्षी
लोगों की तलाश कर रहे हैं
जो अपने स्मार्ट फोन पर 2-3घटें काम                                       करके प्रति माह 18kसे 20हजार कमाना चाहतें है     
     
आनँलाइन होम बेस्ट बिजनेस के साथ मे जानने के लिए कम्पनी  
फ्री वेबिनार।  मे भाग लेने       के लिए हमें मे जवाब दे     
                घर से काम     
         लचीला समय 2-3 घंटे 
    प्रति माह 10,000--15,000 हजारे रुपए कमाएँ  
    इछक हैं।                          तो yes टाइप करे    
   Student, housewife. ,job person.    
Koi bhi kar sahta he.   
     
Mb  6377230473","19936","2023-09-17T18:01:37.000Z",
"🔵🔴

#TheBest","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxYLD-wrrXq/","146","هذا جاي يتقاعد فبرشلونة 😂وربي مستواه نازل","210903","2023-09-19T15:02:13.000Z",
"“We should appear to show them who we are and that day has come.” 🗣 

Noura Ibrahim’s perseverance made her reach the biggest of her dreams! 🤩

Watch her inspiring story on “Destined to Play” 📺⬇️","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CxTdBQrNDLZ/","349","Queen 👑","34374","2023-09-17T19:05:07.000Z",
"Too good from @RomeluLukaku! 😮‍💨

#FIFAWorldCup #Belgium #Lukaku","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxTIGoWrs4o/","119","","92174","2023-09-17T16:00:42.000Z",
"@FrenkiedeJong threading the needle! 🇳🇱🪡

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxiXI5xNVsW/","186","","148642","2023-09-23T14:00:32.000Z",
"🦸‍♂️🇲🇦 @equipedumaroc's Superhero 

#TheBest","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxVtJC7NmFI/","1106","❤️🇲🇦🦁","122196","2023-09-18T16:02:17.000Z",
"Captain America. 🇺🇸​🦸‍♂️

#HBD | @cmpulisic","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxVfZrDN4Jn/","113","","43020","2023-09-18T14:02:13.000Z",
"A @Toni.Kr8s special for your Sunday. 🚀🇩🇪

#FIFAWorldCup #Germany #Kroos","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxSYCBmNVEp/","566","رسم ✨✨","501907","2023-09-17T09:00:22.000Z",
"Panenkas 😲
Battle of Nuremberg 🟥
Italy's triumph 🇮🇹

Relive full matches and more from the iconic #FIFAWorldCup 2006 on FIFA+.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxS6f6ToQPD/","78","❤️","18077","2023-09-17T14:01:38.000Z",
"What is it like to be both a nurse and a football player? 💉⚽️

Bayan Sadaqah tells us her inspiring story and how football helped in the other side of her life 🥺","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CxbL-JCvQyT/","67","🙌","16603","2023-09-20T19:09:51.000Z",
"@cmpulisic has always led from the front. 🇺🇸✨

#HBD","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxV8_6kvwRY/","136","@vrabacnagrani he’s American what are you talking about?","31333","2023-09-18T18:33:38.000Z",
"🇵🇹 Bernardo Silva 🔗 Erling Haaland 🇳🇴

#TheBest","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxQjen8NRCc/","172","🇲🇿✌️","320206","2023-09-16T16:01:39.000Z",
